file,line,type,field,id,priority
stops,14100,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_sse_paid_area,MEDIUM
stops,14242,SuspectStopLocationError,stop_id,33035_node_platform_elevator_trolley_westbound,MEDIUM
stops,14122,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_e5_landing,MEDIUM
stops,12628,SuspectStopLocationError,stop_id,31034_node_l1_unpaid_stair_drop_off,MEDIUM
stops,12607,SuspectStopLocationError,stop_id,20845_boarding_westbound_dropoff_east,MEDIUM
stops,14086,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_pe6_landing,MEDIUM
stops,14030,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_e5_landing,MEDIUM
stops,12648,SuspectStopLocationError,stop_id,31034_node_stair_2_m1_lobby,MEDIUM
stops,14075,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_middle_ramp_ne_unpaid_area,MEDIUM
stops,12585,SuspectStopLocationError,stop_id,31033_node_south_entrance_junction,MEDIUM
stops,12643,SuspectStopLocationError,stop_id,31034_node_market_st_dropoff_west_terminal_corridor,MEDIUM
stops,13963,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_south_sw_paid_area,MEDIUM
stops,14149,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_top_stair_se_to_mezzanine_b,MEDIUM
stops,14081,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_nw_paid_area,MEDIUM
stops,13934,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_ne_paid_area,MEDIUM
stops,14292,SuspectStopLocationError,stop_id,33036_node_stair_south_north_platform,MEDIUM
stops,12550,SuspectStopLocationError,stop_id,31033_node_escalator_2a_mezzanine,MEDIUM
stops,14017,SuspectStopLocationError,stop_id,33034_node_juniper_st_north_mezzanine,MEDIUM
stops,13911,SuspectStopLocationError,stop_id,33034_boarding_t_eb_1,MEDIUM
stops,14127,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_stair_west_paid,MEDIUM
stops,14117,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_corridor_1_to_b_mezzanine,MEDIUM
stops,14131,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_16th_market_exit_corridor_paid,MEDIUM
stops,14043,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_lower_ramp_se_paid_area,MEDIUM
stops,12540,SuspectStopLocationError,stop_id,31033_node_elevator_2_platform,MEDIUM
stops,14153,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_w2_landing,MEDIUM
stops,14040,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_l_rotogate_sw_unpaid,MEDIUM
stops,14123,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_junction_east,MEDIUM
stops,14050,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_upper_ramp_ne_paid_area,MEDIUM
stops,14041,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_lower_ramp_ne_paid_area,MEDIUM
stops,14025,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_rotogate_se_paid,MEDIUM
stops,12574,SuspectStopLocationError,stop_id,31033_node_near_stair_d_and_escalators_4_and_5,MEDIUM
stops,14200,SuspectStopLocationError,stop_id,33035_node_mezzanine_30th_street_northwest_stair,MEDIUM
stops,14246,SuspectStopLocationError,stop_id,33035_node_platform_stair_market_northeast,MEDIUM
stops,14113,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_16th_market_exit_faregate_unpaid,MEDIUM
stops,14109,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_w3_landing,MEDIUM
stops,13981,SuspectStopLocationError,stop_id,33034_node_b_platform_sb_south_stair_b_landing,MEDIUM
stops,14083,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_pe13_landing,MEDIUM
stops,14163,SuspectStopLocationError,stop_id,33034_node_t_westbound_platform_north_rotogate_paid,MEDIUM
stops,13966,SuspectStopLocationError,stop_id,33034_node_b_platform_nb_north_stair_b_landing,MEDIUM
stops,12554,SuspectStopLocationError,stop_id,31033_node_escalators_4_&_5_platform,MEDIUM
stops,14056,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_e1_landing,MEDIUM
stops,14065,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_faregate_wc_paid_area,MEDIUM
stops,14126,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_stair_top_corridor_1_to_b_mezzanine,MEDIUM
stops,14032,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_junction_s_unpaid_area,MEDIUM
